,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene
S-box,S-box,1.4367201118344728e-30,8.620320671006837e-30,0.6521739130434783,0.5769230769230769,0.6122448979591837,15.0,26.0,23.0,1.0,
1,,,,,,,,,,,
WalR,WalR,1.8971471218597924e-12,2.6560059706037096e-11,0.3888888888888889,0.2916666666666667,0.3333333333333333,7.0,24.0,18.0,1.0,
3,,,,,,,,,,,
Rex,Rex,1.416976689213633e-19,7.084883446068165e-19,1.0,0.5833333333333334,0.7368421052631579,7.0,12.0,7.0,1.0,
Fnr,Fnr,1.0667406423877375e-14,6.400443854326425e-14,0.6,0.5454545454545454,0.5714285714285713,6.0,11.0,10.0,1.0,
6,,,,,,,,,,,
7,,,,,,,,,,,
CsoR/Fnr,CsoR/Fnr,1.842215715075695e-11,8.719391201024772e-07,0.11363636363636363,0.4,0.17699115044247787,10.0,25.0,88.0,2.0,
9,,,,,,,,,,,
SigM,SigM,1.6148549794111385e-27,2.09931147323448e-26,0.8947368421052632,0.1827956989247312,0.3035714285714286,17.0,93.0,19.0,1.0,
EAR riboswitch,EAR riboswitch,3.1546665503246387e-40,2.208266585227247e-39,0.8333333333333334,1.0,0.9090909090909091,15.0,15.0,18.0,1.0,
SigB-1,SigB,4.3671801238073813e-66,6.98748819809181e-65,0.9622641509433962,0.23076923076923078,0.3722627737226278,51.0,221.0,53.0,1.0,
PyrR,PyrR,6.910434165664637e-27,1.3820868331329273e-26,1.0,0.9,0.9473684210526316,9.0,10.0,9.0,1.0,
SigV,SigV,2.32464109775599e-12,3.022033427082787e-11,0.3333333333333333,0.3333333333333333,0.3333333333333333,7.0,21.0,21.0,1.0,
CodY,CodY,2.915811178424573e-73,6.997946828218975e-72,0.821917808219178,0.32085561497326204,0.46153846153846156,60.0,187.0,73.0,1.0,
ManR,ManR,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,
SG_1,,,,,,,,,,,True
CymR-1,CymR,9.394652582889925e-42,7.51572206631194e-41,0.7586206896551724,0.5238095238095238,0.6197183098591549,22.0,42.0,29.0,1.0,
RhgR,RhgR,4.739042418081172e-13,1.6112744221475988e-11,0.0625,1.0,0.11764705882352941,8.0,8.0,128.0,1.0,
SG_2,,,,,,,,,,,True
CymR-2,CymR,1.095369886497728e-35,5.47684943248864e-35,0.8571428571428571,0.42857142857142855,0.5714285714285714,18.0,42.0,21.0,1.0,
stringent response,stringent response,1.7831896304683952e-45,7.132758521873581e-45,0.9142857142857143,0.21768707482993196,0.3516483516483516,32.0,147.0,35.0,1.0,
SG_3,,,,,,,,,,,True
PhoP,PhoP,3.398362799184376e-31,1.3593451196737505e-30,0.9444444444444444,0.2537313432835821,0.39999999999999997,17.0,67.0,18.0,1.0,
SigB-2,SigB,6.792567606816903e-39,1.4264391974315496e-37,0.6964285714285714,0.17647058823529413,0.2815884476534296,39.0,221.0,56.0,1.0,
26,,,,,,,,,,,
TnrA-1,TnrA,2.055512194540925e-31,2.4666146334491102e-30,0.6052631578947368,0.27380952380952384,0.3770491803278689,23.0,84.0,38.0,1.0,
YlxR-1,YlxR,4.461785245557355e-16,1.3385355736672065e-15,0.8,0.2222222222222222,0.3478260869565218,8.0,36.0,10.0,1.0,
MtlR,MtlR,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,
ImmR,ImmR,3.731269406161251e-42,3.731269406161251e-42,0.9411764705882353,0.8888888888888888,0.9142857142857143,16.0,18.0,17.0,1.0,
SigD,SigD,3.0538787562860923e-92,5.802369636943576e-91,0.8378378378378378,0.5166666666666667,0.6391752577319588,62.0,120.0,74.0,1.0,
TnrA-2,TnrA,8.549619688436507e-30,8.549619688436506e-29,0.65625,0.25,0.3620689655172414,21.0,84.0,32.0,1.0,
SwrA,SwrA,7.051312016388531e-60,4.230787209833119e-59,1.0,0.78125,0.8771929824561403,25.0,32.0,25.0,1.0,
YlxR-2,YlxR,1.837960783800659e-25,7.351843135202636e-25,0.9230769230769231,0.3333333333333333,0.489795918367347,12.0,36.0,13.0,1.0,
ComA,ComA,1.0023544427672412e-09,1.2028253313206895e-08,0.2857142857142857,0.24,0.2608695652173913,6.0,25.0,21.0,1.0,
SigK,SigK,3.8338270976712396e-110,6.134123356273983e-109,0.6466165413533834,0.6466165413533834,0.6466165413533834,86.0,133.0,133.0,1.0,
SigI,SigI,1.0280439886414017e-11,7.196307920489812e-11,0.7142857142857143,0.29411764705882354,0.4166666666666667,5.0,17.0,7.0,1.0,
Zur,Zur,4.8081635309042984e-27,1.9232654123617194e-26,0.6666666666666666,1.0,0.8,10.0,10.0,15.0,1.0,
Thi-box,Thi-box,2.378534925464142e-31,2.3785349254641417e-30,0.5909090909090909,0.9285714285714286,0.7222222222222223,13.0,14.0,22.0,1.0,
NusA,NusA,1.7882068051786394e-11,7.510468581750286e-10,0.05426356589147287,1.0,0.10294117647058823,7.0,7.0,129.0,1.0,
CsoR,CsoR,1.1636093423479974e-10,6.981656054087985e-10,0.12727272727272726,0.5,0.2028985507246377,7.0,14.0,55.0,1.0,
SigB-3,SigB,1.100045719855968e-65,3.080128015596711e-64,0.7469879518072289,0.28054298642533937,0.4078947368421053,62.0,221.0,83.0,1.0,
FruR,FruR,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,
