regulator,gene_id,effect
ComK,BSU_35370,activation
ComK,BSU_25570,activation
ComK,BSU_24660,activation
ComK,BSU_24690,activation
ComK,BSU_28030,activation
ComK,BSU_10620,activation
ComK,BSU_35450,activation
ComK,BSU_28070,activation
ComK,BSU_16940,activation
ComK,BSU_35390,activation
ComK,BSU_10640,activation
SwrAA;2,BSU_02780,activation
PchR,BSU_35090,repression
PchR,BSU_10730,activation
PchR,BSU_35080,repression
PchR,BSU_35060,repression
PchR,BSU_35070,repression
GerR,BSU_36060,activation
GerR,BSU_11750,activation
GerR,BSU_11760,activation
GerR,BSU_36070,activation
GerR,BSU_11740,activation
GerR,BSU_11810,activation
GerR,BSU_17670,repression
GerR,BSU_36050,activation
GerR,BSU_19790,activation
GerR,BSU_36040,activation
GerR,BSU_19780,activation
AdaA,BSU_01800,positive regulation
AdaA,BSU_01820,positive regulation
AdaA,BSU_01810,positive regulation
SigL,BSU_08080,sigma factor
SigL,BSU_24030,sigma factor
SigL,BSU_40320,sigma factor
SigL,BSU_24080,sigma factor
SigL,BSU_24050,sigma factor
SigL,BSU_27070,sigma factor
SigL,BSU_08070,sigma factor
SigL,BSU_37780,sigma factor
SigL,BSU_08060,sigma factor
SigL,BSU_27030,sigma factor
SigL,BSU_27050,sigma factor
SigL,BSU_24040,sigma factor
SigL,BSU_27060,sigma factor
SigL,BSU_37770,sigma factor
SigL,BSU_40330,sigma factor
SigL,BSU_24090,sigma factor
SigL,BSU_27040,sigma factor
SigL,BSU_40340,sigma factor
SigL,BSU_24060,sigma factor
SigL,BSU_37790,sigma factor
SigL,BSU_24070,sigma factor
SigL,BSU_08090,sigma factor
SigL,BSU_37760,sigma factor
MurR,BSU_01680,repression
MurR,BSU_01690,repression
MurR,BSU_01660,repression
MurR,BSU_01700,repression
MurR,BSU_01670,repression
MurR,BSU_01650,repression
CitT,BSU_07620,activation
CitT,BSU_07610,activation
AnsR,BSU_23580,repression
AnsR,BSU_23590,negative autoregulation
AnsR,BSU_23560,repression
AnsR,BSU_23570,repression
AnsR,BSU_23550,repression
Rok,BSU_37400,repression
Rok,BSU_37410,repression
Rok,BSU_40180,repression
Rok,BSU_37370,repression
Rok,BSU_39950,repression
Rok,BSU_40610,repression
Rok,BSU_37360,repression
Rok,BSU_37420,repression
Rok,BSU_10420,repression
Rok,BSU_11920,repression
Rok,BSU_40600,repression
Rok,BSU_39940,repression
Rok,BSU_37380,repression
Rok,BSU_13490,repression
Rok,BSU_40590,repression
Rok,BSU_40140,repression
Rok,BSU_14240,repression
Rok,BSU_37390,repression
Rok,BSU_37350,repression
Rok,BSU_13640,repression
Rok,BSU_21460,repression
Rok,BSU_40580,repression
Rok,BSU_21450,repression
Rok,BSU_40170,repression
Rok,BSU_40150,repression
Rok,BSU_21470,repression
Rok,BSU_40620,repression
Rok,BSU_33760,repression
Rok,BSU_21480,repression
Rok,BSU_21440,repression
Rok,BSU_37430,repression
Rok,BSU_33770,repression
Rok,BSU_33750,repression
Rok,BSU_40160,repression
YrkP,BSU_26440,activation
YrkP,BSU_26420,activation
YrkP,BSU_12880,activation
YrkP,BSU_12890,activation
YrkP,BSU_26450,activation
YrkP,BSU_26410,activation
YrkP,BSU_26430,activation
YfiR,BSU_08380,repression
YfiR,BSU_08370,repression
IolQ,BSU_10850,repression
GerE,BSU_37890,activation
GerE,BSU_10690,repression
GerE,BSU_36070,activation
GerE,BSU_05570,repression
GerE,BSU_37830,activation
GerE,BSU_14980,activation
GerE,BSU_30860,repression
GerE,BSU_17310,activation
GerE,BSU_30890,activation
GerE,BSU_34520,activation
GerE,BSU_32640,activation
GerE,BSU_11320,activation
GerE,BSU_30900,activation
GerE,BSU_07280,activation
GerE,BSU_11760,activation
GerE,BSU_19490,repression
GerE,BSU_13789,activation
GerE,BSU_37840,activation
GerE,BSU_37870,activation
GerE,BSU_10600,repression
GerE,BSU_19750,activation
GerE,BSU_36060,repression
GerE,BSU_37810,activation
GerE,BSU_37900,activation
GerE,BSU_37880,activation
GerE,BSU_37820,activation
GerE,BSU_11750,activation
GerE,BSU_07300,activation
GerE,BSU_10900,repression
GerE,BSU_37860,activation
GerE,BSU_19810,activation
GerE,BSU_10610,repression
GerE,BSU_30910,activation
GerE,BSU_15950,activation
GerE,BSU_37910,activation
GerE,BSU_06300,repression
GerE,BSU_17030,repression
GerE,BSU_25760,repression
GerE,BSU_19770,activation
GerE,BSU_17670,activation
GerE,BSU_11780,activation
GerE,BSU_11740,activation
GerE,BSU_28320,repression
GerE,BSU_17700,activation
GerE,BSU_07290,activation
GerE,BSU_22250,activation
GerE,BSU_10710,repression
GerE,BSU_12090,repression
GerE,BSU_19790,activation
GerE,BSU_09958,activation
GerE,BSU_30880,repression
GerE,BSU_04110,activation
GerE,BSU_10700,repression
GerE,BSU_18670,repression
GerE,BSU_06850,activation
GerE,BSU_25710,activation
GerE,BSU_36050,repression
GerE,BSU_31270,repression
GerE,BSU_11770,activation
GerE,BSU_37850,activation
GerE,BSU_36040,repression
GerE,BSU_10670,repression
GerE,BSU_39580,activation
GerE,BSU_05550,repression
GerE,BSU_19780,activation
GerE,BSU_07310,activation
GerE,BSU_10680,repression
GerE,BSU_10720,repression
GerE,BSU_19760,activation
GerE,BSU_17970,repression
GerE,BSU_32650,activation
GerE,BSU_26390,repression
GerE,BSU_14970,activation
GerE,BSU_07270,activation
GerE,BSU_30870,repression
GerE,BSU_22200,activation
GerE,BSU_05560,repression
TyrZ,BSU_38450,sigma factor
TyrZ,BSU_38460,sigma factor
YcbG,BSU_02490,repression
