,gene_id,database,kegg_id
252,BSU_00750,KEGG_pathway,map02025
263,BSU_00760,KEGG_pathway,map00270
264,BSU_00760,KEGG_pathway,map00280
265,BSU_00760,KEGG_pathway,map00290
266,BSU_00760,KEGG_pathway,map00770
267,BSU_00760,KEGG_pathway,map00790
268,BSU_00760,KEGG_pathway,map01100
269,BSU_00760,KEGG_pathway,map01110
270,BSU_00760,KEGG_pathway,map01130
271,BSU_00760,KEGG_pathway,map01210
272,BSU_00760,KEGG_pathway,map01230
275,BSU_00770,KEGG_pathway,map00790
276,BSU_00770,KEGG_pathway,map01100
279,BSU_00780,KEGG_pathway,map00790
280,BSU_00780,KEGG_pathway,map01100
283,BSU_00790,KEGG_pathway,map00790
284,BSU_00790,KEGG_pathway,map01100
285,BSU_00800,KEGG_pathway,-
286,BSU_00810,KEGG_pathway,-
288,BSU_00820,KEGG_pathway,map00970
289,BSU_00830,KEGG_pathway,-
290,BSU_00840,KEGG_pathway,-
293,BSU_00850,KEGG_pathway,map00330
294,BSU_00850,KEGG_pathway,map01100
296,BSU_00860,KEGG_pathway,map01100
297,BSU_00870,KEGG_pathway,-
298,BSU_00880,KEGG_pathway,-
299,BSU_00890,KEGG_pathway,-
304,BSU_00900,KEGG_pathway,map00900
305,BSU_00900,KEGG_pathway,map01100
306,BSU_00900,KEGG_pathway,map01110
307,BSU_00900,KEGG_pathway,map01130
312,BSU_00910,KEGG_pathway,map00900
313,BSU_00910,KEGG_pathway,map01100
314,BSU_00910,KEGG_pathway,map01110
315,BSU_00910,KEGG_pathway,map01130
321,BSU_00920,KEGG_pathway,map00860
322,BSU_00920,KEGG_pathway,map00970
323,BSU_00920,KEGG_pathway,map01100
324,BSU_00920,KEGG_pathway,map01110
325,BSU_00920,KEGG_pathway,map01120
334,BSU_00930,KEGG_pathway,map00270
335,BSU_00930,KEGG_pathway,map00920
336,BSU_00930,KEGG_pathway,map01100
337,BSU_00930,KEGG_pathway,map01110
338,BSU_00930,KEGG_pathway,map01120
339,BSU_00930,KEGG_pathway,map01200
340,BSU_00930,KEGG_pathway,map01230
341,BSU_00930,KEGG_pathway,map05111
343,BSU_00940,KEGG_pathway,map00970
344,BSU_00950,KEGG_pathway,-
345,BSU_00960,KEGG_pathway,-
