Geneid,0,1,2,3,4,5,6,7,8,9
BSU_00010,-0.008684867381580587,-0.0035076231071984043,-0.014526161350812566,-0.007413463821602791,0.004106820896507597,-0.009126320279557563,-0.004794005710073813,0.012542780192255657,-0.01620924815425262,-0.004829925553142906
BSU_00020,-0.015596170102856523,-0.008094157562369255,-0.007504507915815771,-0.006132815948821536,0.0030079591774582436,-0.008161112319363896,-0.0019034782168906778,0.013146621142729742,-0.016229663090329294,-0.0014842537921115762
BSU_00030,0.0015398467720177575,-0.00795519802574054,-0.0072970662449632654,-0.001381518315844884,0.006122982657822938,-0.018942567263257003,0.00036678079411287467,-0.0022066766540518516,-0.01618351043832169,-0.002263654594738448
BSU_00040,0.0009774509955767729,0.009112888298623886,-0.0036661748705160107,-0.0005905247261235009,-0.0037356612476218487,-0.006357086477743512,0.0027759896247061,0.0051991866116020856,-0.00859622108705112,0.006833475001206789
BSU_00050,0.001987993303933316,0.0038412527040933815,-0.001049122372157399,0.0041021668149544424,-0.0006795902407854497,-0.005309104279069107,0.0009244066516680669,0.001760056728035124,-0.0109211377068104,0.0036994323543186303
BSU_00060,-0.0052583050642567184,0.009470303810413196,-0.002603450573707235,0.003139854320569699,-0.0014554179051250947,-0.0078122442537557355,-0.003154836240960404,-0.00047482155028398033,-0.0024426753455718277,0.003592528376343833
BSU_00070,-0.00340198184989319,0.015761589400766902,-0.004166713333665401,0.0030831485966866645,-0.002294006207029998,-0.009635813470066378,-0.006377066482584454,-0.0021309622316263823,-0.007022761196069244,-0.002931266358951431
BSU_00080,0.02202435529432766,-0.00021027093037572064,0.02169597155549774,0.003794598770350111,0.010757301568150883,-0.00969146976873169,0.00533972171207499,-0.009469505917120884,-0.004880381541185666,-0.002325009234358207
BSU_00090,-0.018360435788574433,0.0032356234316994253,-0.01202959014589329,0.003293752008187759,-0.011775533289438787,-0.012560859123710797,-0.0063194765609194455,0.013509990438725656,0.00025134956606774936,0.006517647740618767
BSU_00100,-0.0145017913890618,-0.0011821391830638265,-0.009329062853209115,-0.001503690060614998,-0.01970927155537701,-0.0005634687939545577,-0.0029186927638740513,0.01617275895605702,-0.03036357949589978,-0.0013026164201647282
BSU_00110,-0.014607935469699013,-0.003435914497029931,-0.011579251750892255,0.010013203509225004,-0.002473651042721221,0.006742737278069579,-0.003419578469010207,0.00228666287443997,-0.012300021023218501,0.0005059404467675032
BSU_00120,-0.017031039313931084,0.004451362358678895,-0.012705258783630859,0.012973835891053664,-0.007949502876120288,0.005953042216669934,-0.0020040665888421834,0.0011774257542114814,-0.007892013667395082,0.00024102381394403501
BSU_00130,-0.021229064042808367,0.01104244278139795,-0.01276673843469458,0.009256790295074823,-0.018440916033615057,-0.0001802306478777218,0.0007235705949210963,-0.003573044075549501,-0.00424211631312151,-0.0015281899570913308
