Geneid,SRX7255887,SRX7255888,SRX7255889,SRX7255890,SRX7255891,SRX7255892,SRX7255893,SRX7255894,SRX7255895,SRX7255896,SRX7255897,SRX7255898,SRX7255899,SRX7255900,SRX7255901,SRX7255902,SRX7255903,SRX7255904,SRX7255905,SRX7255906,SRX7255907,SRX7255908,SRX7255909,SRX7255910,SRX7255911,SRX7255912,SRX7255913,SRX7255914,SRX7255915,SRX7255916,SRX7255917
BSU_00010,4.01190249448275,4.104999277006609,4.1657240677568526,7.3396685414322125,7.218461536950085,7.265609945329829,6.232521718958349,6.117077801089267,6.112328743385444,6.291417709209634,6.32433535925641,6.711967411037089,6.439787193057288,6.355936364823097,6.294743487567391,5.893455857563318,5.726828648436726,5.875770539851954,5.84178762465811,5.7825666026363125,5.827093695985102,5.323413487608765,4.839167871723598,5.361181641834353,5.380972246345063,4.273405347288681,3.5306156661208337,3.2131305890372053,4.736861016942953,4.617236863577772,5.138747698489675
BSU_00020,5.595273747708633,5.407356042817796,5.317627979707484,7.259547813964455,7.064569006728494,7.214789822726684,6.006302414485087,5.839588280362517,5.72930866606571,6.0633097978059824,6.101460921679334,6.454491319157204,6.157280740523845,5.93475272484254,5.996980395355718,5.828949596480091,5.540834004298696,5.749110827256006,5.491861289599983,5.451148668088166,5.578026223308513,5.129950504615925,4.692176580070377,5.32174117135289,5.257175658073333,4.2439209399680635,3.5691728075947,3.92640403425541,4.498595252351017,4.296597612870846,7.66433940524912
BSU_00030,4.638589331796251,4.847734227162534,4.830756137020916,8.158509163834381,8.191578471564906,8.140886362657557,6.963228110008131,7.2236864002329755,7.336275113500136,7.434215890912333,7.3275112376909215,7.667734466611127,7.063797316644516,6.9552706639276245,7.118021381109721,6.5555198724752755,6.688123671247323,6.7562044594523405,6.884387365341172,6.708996540525534,6.898368133188018,6.566136558471409,6.209448808243904,6.737593280872456,6.842261668417782,5.3985001241576835,5.055220622989136,4.233593908980325,5.8377082082784435,5.531347218718468,0.0
BSU_00040,9.0917713510204,9.150609540989672,9.012876971629387,8.376350669491636,8.505085828643772,8.376643886225121,7.434488774405545,7.403208376755454,7.446252237018163,7.632777993956258,7.694012231509103,8.120958619472157,7.75619098079774,7.714526175989636,7.663319547987999,7.694221368101017,7.525353473137699,7.601684110359928,8.072365900802405,7.865580182042933,7.976307035995264,8.149639865748846,7.876762523129963,8.045647003046119,8.234646739958679,8.132966335006708,8.082810237270355,6.583480590538421,8.124126635238893,7.568724213947755,4.996926061314554
BSU_00050,8.76713269917265,8.76705504164982,8.61178793003037,7.380328342494669,7.4268616267978755,7.409478938982465,6.302341993519431,6.604396541566558,6.459955602833158,6.8346598462976935,6.887648576862481,7.275427751384089,7.131025984711959,6.948650322243932,6.852307851532923,7.0354182066709114,6.939114353374635,6.8380346607753975,7.501219570921085,7.396302493408018,7.3845863659124555,7.3848109935580615,6.873196424001972,7.084823539491967,7.640653663653082,5.868588411136824,5.158244823432106,5.408170086538101,7.3990303816334135,6.7149264422364086,0.0
BSU_00060,9.687313504118125,9.66684658127168,9.659834678570729,8.177755705424666,8.223301653786981,8.212225097855416,7.678587401375766,7.5270877546618795,7.4820078316306375,7.468768032459118,7.476327599156627,7.917287763437069,7.72836145932133,7.587031767947386,7.5474377876655065,7.6320558355847705,7.418021254056787,7.4857614723380905,7.961250126448923,7.646892789860773,7.7841467001408144,7.9491904967345866,7.619508989446868,7.91538949112605,8.163044270686857,7.573063296076244,7.390563681012799,6.433978410915778,7.8277795650904265,7.264551826992717,2.804527976209586
BSU_00070,9.183122472948785,9.102512216011407,9.139211387147899,8.591168944622316,8.641271807205435,8.622650970580379,7.918208963615069,7.8468476961998,7.856575948935559,8.077235064689145,8.109711204606173,8.44199217285472,8.006003097064482,7.972614724531041,7.881128536643682,7.870542150399364,7.570013726574926,7.649095661848782,8.196903290647093,7.870107128319278,8.04891330360119,7.873741000516277,7.547627607945097,7.9239883104825966,8.254525784281231,6.949994448819211,6.861281579695522,6.098528037481381,7.530420834288643,7.126078222548998,2.499165028652292
BSU_00080,2.688761611094411,3.21053328302955,3.5515107769331387,1.3184277061069256,1.4546277528695841,1.4038205472797909,0.6104878807498927,0.5706938450865072,0.6848076032462012,1.258297794861646,1.0543065881282616,1.2802375321152717,2.8852964065552484,3.0212121611916247,2.6727942903917326,4.167846836314002,4.575244967260647,4.54650567801084,3.7967582360127095,4.172735055558368,3.981143004380092,3.506629895428267,3.908424338013671,3.9315764349419724,5.205149094590479,3.6542757400905765,1.1277159903032672,2.7863738094447865,3.138246330435119,4.926584295586844,5.221707193080313
BSU_00090,10.269641380655843,9.993659310619362,10.06007210307122,8.196301464271441,8.192934851501699,8.315136702127816,8.617314858752469,8.170062187440642,8.126071363012578,7.553667444746458,7.558646296474184,7.936272357370098,7.633740755591115,7.352847552949845,7.403845834682445,7.153718776004185,6.910444142295271,7.043448192507686,6.983318496160195,6.96305711491882,7.049054818434998,7.962391296129408,7.3300922747008075,7.6393571518009065,6.865295317388886,7.692077462850745,6.55653817021006,6.060019867596441,6.3385973208844995,6.051302679796164,9.362156636430914
BSU_00100,5.953842495348497,5.894338664787512,5.79679170576896,8.585550941663175,8.679736776248577,8.63399451388892,6.991949756252305,7.24597409234148,7.262521315515277,7.458122666355789,7.5680983081163165,7.942260034692977,7.209199511743986,7.094664553897428,7.108900666685582,6.346004516898404,6.2196905908587885,6.201288786845138,6.57505752809448,6.316304795459848,6.556033451453847,5.991720721839228,5.356299221454632,6.062943122549772,6.124405841612673,4.771821101720249,3.7349400010397495,4.427706311908533,5.228018851286306,5.285020979753213,8.891321256436903
