Geneid,SRX7255900,SRX7255906,SRX7255905,SRX7255902,SRX7255887,SRX7255895,SRX7255891,SRX7255892,SRX7255916,SRX7255889,SRX7255917,SRX7255909,SRX7255913,SRX7255888,SRX7255897,SRX7255908,SRX7255912,SRX7255911,SRX7255914,SRX7255894,SRX7255904,SRX7255910,SRX7255907,SRX7255893,SRX7255901,SRX7255915,SRX7255890,SRX7255898,SRX7255899,SRX7255903,SRX7255896
BSU_31150,5112,2790,3290,4073,1652,3172,6106,4738,1466,1771,2,1334,443,1173,3994,2837,362,3064,490,3371,3059,1670,4401,2521,5375,1492,5270,6703,5989,3900,6517
BSU_31160,6680,4589,5228,5996,321,2780,6126,4771,3002,398,1,2887,386,298,4373,5468,313,5767,1097,3307,5202,3499,7161,2416,6540,2525,5658,6824,7533,6304,6675
BSU_31170,3517,1702,2289,3121,239,1697,4353,3422,701,307,3,1377,218,217,2640,2900,206,2010,288,1591,2145,1754,2752,1616,3483,744,3995,4301,4105,2299,4160
BSU_31180,824,701,900,1119,4000,85,134,87,917,4904,12,1005,297,2820,109,1288,266,1855,443,99,715,1019,982,127,679,1166,118,152,713,971,167
BSU_31190,172,145,176,211,522,20,15,13,184,559,1,225,11,382,22,261,19,429,59,18,153,252,206,51,127,170,19,27,126,184,30
BSU_31200,1093,883,1090,1232,1636,488,670,508,888,2112,0,1117,243,1280,468,1354,214,1905,340,508,876,1093,1324,544,984,1010,548,730,1054,1100,741
BSU_31210,667,501,615,709,692,284,536,406,374,878,0,497,92,472,309,774,84,837,171,298,493,650,702,328,638,493,439,525,666,643,523
BSU_31220,342,248,300,399,455,158,386,336,165,744,2,280,84,428,127,316,136,533,90,154,265,280,325,154,300,208,336,191,312,326,178
BSU_31230,352,227,275,307,844,1046,1500,1358,139,1202,2,245,8,619,700,381,39,247,66,1291,219,364,314,1257,343,102,1488,1125,407,307,1011
BSU_31240,856,554,678,1057,2528,25913,8492,7359,615,2737,4,591,71,1863,4633,798,85,730,353,28420,714,836,774,41243,952,403,8262,5757,1064,810,5121
BSU_31250,310,217,223,397,144,6347,1984,1670,308,167,2,264,40,111,1344,370,31,353,150,6419,240,372,301,9943,325,152,1994,2009,373,350,1611
